age,job,marital,education,default,balance,housing_loan,personal_loan,contact,day,month,duration,campaign,pdays,previous,poutcome,LOAN_APPROVAL
55.0,retired,divorced,tertiary,0.0,114358.0,1.0,1.0,telephone,11.0,apr,994.0,1.0,61.0,7.0,failure,1.0
19.0,technician,single,secondary,0.0,39117.0,0.0,1.0,telephone,22.0,may,1808.0,2.0,285.0,5.0,failure,1.0
38.0,student,married,tertiary,0.0,101371.0,1.0,1.0,telephone,28.0,jul,1426.0,8.0,295.0,9.0,success,0.0
50.0,student,single,secondary,0.0,109744.0,1.0,0.0,cellular,11.0,may,871.0,1.0,456.0,3.0,success,1.0
29.0,admin,single,secondary,0.0,80582.0,0.0,0.0,cellular,2.0,apr,1844.0,3.0,4.0,8.0,failure,1.0
39.0,student,single,primary,0.0,124875.0,0.0,1.0,telephone,2.0,feb,1424.0,12.0,222.0,3.0,failure,1.0
61.0,retired,divorced,tertiary,0.0,97601.0,0.0,0.0,telephone,23.0,may,329.0,13.0,276.0,7.0,failure,1.0
42.0,student,married,tertiary,0.0,61258.0,1.0,1.0,telephone,20.0,nov,457.0,2.0,228.0,7.0,unknown,1.0
66.0,technician,married,tertiary,0.0,9463.0,0.0,0.0,cellular,12.0,apr,1481.0,12.0,410.0,8.0,unknown,1.0
44.0,admin,single,secondary,0.0,15889.0,0.0,1.0,cellular,12.0,dec,755.0,7.0,27.0,8.0,unknown,0.0
59.0,management,divorced,primary,0.0,104866.0,1.0,1.0,cellular,25.0,dec,502.0,19.0,472.0,0.0,success,1.0
45.0,admin,single,secondary,1.0,133869.0,0.0,0.0,telephone,19.0,mar,82.0,5.0,44.0,1.0,unknown,0.0
33.0,technician,divorced,tertiary,0.0,102451.0,1.0,0.0,cellular,29.0,jun,1326.0,17.0,88.0,6.0,success,0.0
32.0,technician,single,primary,0.0,136992.0,1.0,0.0,telephone,26.0,jun,1598.0,10.0,326.0,0.0,failure,1.0
64.0,student,divorced,tertiary,0.0,110079.0,1.0,0.0,telephone,16.0,jul,619.0,11.0,66.0,2.0,unknown,1.0
68.0,admin,single,secondary,0.0,44749.0,0.0,0.0,cellular,25.0,sep,996.0,7.0,88.0,5.0,failure,1.0
61.0,admin,married,secondary,0.0,78966.0,0.0,0.0,telephone,2.0,nov,1134.0,7.0,311.0,0.0,unknown,0.0
72.0,student,married,tertiary,0.0,566.0,0.0,1.0,cellular,4.0,jun,1470.0,3.0,15.0,8.0,success,1.0
69.0,technician,married,tertiary,0.0,10212.0,0.0,1.0,cellular,14.0,jul,672.0,3.0,71.0,1.0,success,0.0
74.0,technician,single,tertiary,0.0,100838.0,0.0,1.0,telephone,18.0,may,411.0,1.0,103.0,3.0,unknown,1.0
20.0,management,married,tertiary,0.0,55953.0,1.0,1.0,telephone,9.0,aug,1121.0,10.0,210.0,6.0,failure,0.0
54.0,technician,divorced,primary,0.0,41995.0,1.0,1.0,telephone,13.0,may,851.0,9.0,251.0,7.0,unknown,1.0
68.0,technician,divorced,primary,0.0,60722.0,0.0,0.0,cellular,1.0,oct,1962.0,17.0,467.0,3.0,failure,1.0
24.0,services,single,tertiary,0.0,145173.0,1.0,1.0,cellular,12.0,dec,702.0,8.0,433.0,5.0,unknown,0.0
38.0,services,married,primary,1.0,29370.0,1.0,1.0,telephone,21.0,jan,1288.0,1.0,261.0,3.0,success,0.0
26.0,services,divorced,tertiary,0.0,70521.0,0.0,1.0,cellular,26.0,feb,1725.0,4.0,416.0,6.0,failure,1.0
56.0,retired,single,secondary,0.0,9331.0,0.0,1.0,telephone,13.0,may,128.0,19.0,390.0,7.0,success,0.0
35.0,student,married,tertiary,0.0,135915.0,0.0,1.0,cellular,2.0,sep,1676.0,18.0,86.0,8.0,failure,1.0
21.0,retired,married,primary,0.0,-970.0,0.0,1.0,telephone,10.0,jul,1325.0,5.0,131.0,3.0,failure,0.0
42.0,technician,single,tertiary,0.0,58508.0,1.0,0.0,cellular,5.0,dec,1827.0,6.0,363.0,7.0,success,1.0
31.0,services,divorced,secondary,0.0,96109.0,0.0,0.0,telephone,2.0,aug,1923.0,6.0,358.0,8.0,unknown,0.0
67.0,student,divorced,secondary,0.0,34042.0,0.0,0.0,cellular,25.0,jun,899.0,10.0,350.0,1.0,failure,1.0
26.0,management,divorced,secondary,0.0,14144.0,1.0,0.0,telephone,29.0,aug,1479.0,2.0,182.0,4.0,failure,1.0
43.0,management,divorced,tertiary,0.0,136500.0,1.0,0.0,cellular,26.0,mar,1202.0,4.0,63.0,5.0,success,1.0
70.0,management,single,tertiary,0.0,131797.0,0.0,0.0,telephone,16.0,sep,1628.0,12.0,125.0,8.0,failure,1.0
19.0,technician,married,secondary,0.0,56846.0,0.0,1.0,cellular,20.0,jul,169.0,1.0,411.0,7.0,failure,0.0
37.0,student,married,secondary,0.0,32944.0,1.0,0.0,cellular,1.0,nov,1958.0,19.0,130.0,4.0,success,1.0
45.0,services,divorced,primary,1.0,101550.0,1.0,1.0,telephone,2.0,mar,274.0,4.0,419.0,6.0,success,1.0
64.0,technician,divorced,tertiary,0.0,2755.0,0.0,1.0,telephone,19.0,aug,1777.0,11.0,68.0,4.0,unknown,1.0
24.0,technician,divorced,secondary,0.0,28238.0,1.0,1.0,telephone,16.0,oct,1186.0,14.0,153.0,2.0,failure,1.0
61.0,management,single,tertiary,0.0,79374.0,1.0,1.0,cellular,17.0,aug,221.0,17.0,427.0,8.0,failure,0.0
25.0,services,single,tertiary,0.0,144610.0,0.0,0.0,cellular,2.0,mar,1555.0,11.0,182.0,9.0,failure,1.0
64.0,retired,married,tertiary,0.0,130318.0,1.0,1.0,telephone,27.0,sep,1482.0,14.0,408.0,6.0,unknown,1.0
52.0,admin,married,primary,0.0,101424.0,0.0,0.0,cellular,21.0,mar,882.0,7.0,157.0,4.0,unknown,1.0
31.0,technician,divorced,secondary,0.0,141564.0,0.0,0.0,telephone,12.0,aug,230.0,19.0,36.0,4.0,unknown,1.0
34.0,services,married,secondary,0.0,-1276.0,0.0,0.0,telephone,24.0,mar,1576.0,4.0,39.0,6.0,success,1.0
53.0,admin,divorced,secondary,0.0,10681.0,0.0,1.0,telephone,8.0,feb,88.0,19.0,434.0,5.0,unknown,1.0
67.0,admin,divorced,primary,0.0,91106.0,1.0,0.0,telephone,10.0,jul,163.0,4.0,97.0,7.0,failure,0.0
57.0,retired,divorced,primary,0.0,94350.0,1.0,0.0,telephone,3.0,apr,793.0,3.0,482.0,2.0,success,1.0
21.0,retired,single,primary,0.0,116003.0,1.0,1.0,telephone,4.0,mar,93.0,15.0,135.0,3.0,success,1.0
19.0,technician,married,primary,0.0,33925.0,0.0,0.0,telephone,15.0,dec,816.0,14.0,250.0,1.0,unknown,1.0
23.0,technician,married,primary,0.0,115407.0,1.0,0.0,telephone,14.0,jun,92.0,4.0,296.0,6.0,unknown,1.0
71.0,services,single,tertiary,0.0,52368.0,1.0,1.0,cellular,21.0,jul,1572.0,17.0,247.0,7.0,unknown,1.0
59.0,retired,married,tertiary,0.0,124709.0,0.0,0.0,cellular,27.0,dec,1007.0,6.0,69.0,6.0,failure,1.0
21.0,student,divorced,tertiary,0.0,55157.0,1.0,1.0,cellular,2.0,jul,755.0,18.0,275.0,0.0,success,1.0
71.0,retired,single,tertiary,0.0,76224.0,1.0,1.0,telephone,3.0,jan,654.0,10.0,65.0,7.0,unknown,1.0
46.0,student,single,tertiary,0.0,33956.0,0.0,0.0,telephone,7.0,dec,1171.0,17.0,81.0,4.0,unknown,1.0
35.0,services,single,primary,0.0,20650.0,0.0,1.0,telephone,22.0,jul,1933.0,10.0,359.0,4.0,unknown,1.0
43.0,student,divorced,secondary,0.0,56699.0,0.0,0.0,telephone,15.0,jan,629.0,16.0,219.0,7.0,failure,0.0
61.0,retired,divorced,tertiary,0.0,145102.0,0.0,1.0,telephone,15.0,oct,1766.0,15.0,450.0,8.0,unknown,1.0
51.0,management,single,secondary,0.0,85303.0,1.0,0.0,cellular,5.0,jan,904.0,3.0,461.0,1.0,failure,1.0
27.0,admin,single,tertiary,0.0,148010.0,0.0,1.0,cellular,15.0,sep,158.0,5.0,54.0,2.0,unknown,1.0
53.0,management,married,primary,0.0,23806.0,0.0,1.0,telephone,15.0,nov,936.0,4.0,423.0,1.0,unknown,1.0
31.0,admin,divorced,secondary,0.0,53521.0,0.0,0.0,telephone,20.0,sep,1655.0,19.0,35.0,8.0,success,1.0
48.0,student,married,secondary,0.0,104897.0,0.0,1.0,cellular,29.0,feb,1756.0,8.0,378.0,3.0,success,1.0
65.0,services,divorced,primary,0.0,132110.0,0.0,0.0,cellular,13.0,jan,454.0,9.0,164.0,1.0,unknown,1.0
32.0,services,married,primary,0.0,65057.0,1.0,0.0,telephone,16.0,may,1771.0,18.0,107.0,4.0,failure,1.0
25.0,admin,single,primary,0.0,21177.0,0.0,0.0,telephone,4.0,sep,706.0,1.0,189.0,7.0,unknown,1.0
31.0,admin,married,primary,0.0,9812.0,0.0,0.0,telephone,7.0,aug,200.0,8.0,398.0,3.0,unknown,1.0
40.0,admin,divorced,primary,0.0,30001.0,1.0,0.0,cellular,29.0,jul,670.0,6.0,449.0,9.0,failure,1.0
74.0,admin,married,secondary,0.0,119298.0,0.0,1.0,telephone,1.0,may,986.0,12.0,15.0,3.0,failure,1.0
57.0,technician,divorced,primary,0.0,77786.0,0.0,0.0,telephone,23.0,aug,617.0,17.0,135.0,4.0,failure,1.0
38.0,retired,single,tertiary,0.0,9566.0,0.0,1.0,telephone,14.0,may,1535.0,14.0,176.0,3.0,failure,0.0
33.0,retired,single,tertiary,0.0,147179.0,0.0,0.0,telephone,21.0,sep,438.0,3.0,129.0,9.0,success,1.0
62.0,services,married,primary,1.0,87040.0,0.0,0.0,cellular,20.0,dec,497.0,2.0,12.0,7.0,unknown,1.0
35.0,technician,single,secondary,0.0,3963.0,0.0,0.0,cellular,8.0,nov,1952.0,13.0,493.0,5.0,unknown,0.0
64.0,admin,married,secondary,0.0,76128.0,1.0,1.0,telephone,23.0,oct,1598.0,8.0,11.0,1.0,failure,1.0
70.0,technician,married,secondary,0.0,100828.0,0.0,0.0,cellular,15.0,oct,1739.0,12.0,41.0,3.0,success,1.0
41.0,admin,single,secondary,0.0,73736.0,1.0,0.0,cellular,30.0,nov,1351.0,5.0,234.0,9.0,unknown,1.0
43.0,student,single,primary,1.0,86345.0,1.0,0.0,telephone,30.0,nov,1843.0,18.0,46.0,2.0,failure,0.0
42.0,retired,divorced,secondary,0.0,67001.0,1.0,0.0,telephone,20.0,feb,683.0,6.0,433.0,9.0,unknown,1.0
62.0,admin,divorced,tertiary,0.0,93415.0,1.0,0.0,telephone,14.0,dec,910.0,18.0,68.0,2.0,unknown,0.0
58.0,student,divorced,primary,0.0,122857.0,0.0,1.0,telephone,24.0,nov,552.0,19.0,360.0,2.0,unknown,1.0
46.0,retired,married,secondary,0.0,52167.0,1.0,1.0,cellular,30.0,oct,1313.0,6.0,135.0,3.0,failure,1.0
32.0,admin,single,tertiary,0.0,18811.0,1.0,0.0,telephone,30.0,jul,1144.0,15.0,17.0,9.0,success,1.0
62.0,student,single,primary,0.0,135004.0,0.0,1.0,cellular,18.0,apr,1630.0,7.0,476.0,2.0,unknown,1.0
18.0,services,single,secondary,0.0,45725.0,1.0,1.0,telephone,30.0,jan,259.0,10.0,487.0,6.0,failure,0.0
42.0,retired,single,tertiary,0.0,55860.0,1.0,0.0,telephone,27.0,feb,1956.0,18.0,369.0,9.0,success,1.0
24.0,student,divorced,tertiary,0.0,24898.0,1.0,1.0,telephone,5.0,jul,1363.0,8.0,212.0,4.0,success,0.0
26.0,services,married,primary,0.0,38617.0,1.0,0.0,telephone,7.0,mar,203.0,12.0,200.0,5.0,success,1.0
41.0,technician,married,secondary,0.0,84587.0,1.0,0.0,telephone,7.0,oct,1401.0,8.0,250.0,0.0,success,1.0
18.0,admin,single,secondary,0.0,45926.0,1.0,0.0,telephone,20.0,aug,1331.0,8.0,128.0,4.0,failure,1.0
61.0,technician,married,primary,0.0,56246.0,0.0,0.0,cellular,20.0,jun,1849.0,16.0,209.0,1.0,failure,1.0
25.0,admin,single,tertiary,0.0,107090.0,1.0,1.0,cellular,30.0,nov,1906.0,14.0,116.0,5.0,unknown,1.0
41.0,retired,married,secondary,0.0,23022.0,0.0,1.0,cellular,20.0,nov,1888.0,14.0,467.0,3.0,failure,1.0
28.0,admin,single,primary,0.0,105178.0,0.0,1.0,cellular,29.0,jan,545.0,1.0,150.0,6.0,failure,1.0
68.0,student,divorced,primary,0.0,132988.0,0.0,1.0,telephone,14.0,jan,744.0,13.0,458.0,0.0,unknown,0.0
34.0,management,single,secondary,0.0,18760.0,1.0,0.0,telephone,11.0,mar,1228.0,13.0,274.0,3.0,success,0.0
25.0,management,married,tertiary,0.0,133330.0,1.0,0.0,cellular,19.0,jul,292.0,4.0,133.0,9.0,success,1.0
52.0,management,single,tertiary,0.0,94200.0,1.0,0.0,telephone,28.0,feb,1746.0,12.0,468.0,2.0,failure,1.0
52.0,services,divorced,primary,0.0,119680.0,0.0,1.0,cellular,7.0,nov,1508.0,17.0,366.0,9.0,failure,0.0
50.0,management,married,secondary,0.0,95901.0,0.0,1.0,telephone,7.0,jun,1120.0,9.0,60.0,2.0,failure,1.0
22.0,admin,divorced,primary,0.0,81856.0,0.0,0.0,cellular,17.0,feb,682.0,15.0,318.0,2.0,failure,1.0
59.0,technician,divorced,secondary,0.0,107725.0,1.0,0.0,telephone,29.0,feb,1788.0,13.0,135.0,8.0,success,1.0
56.0,services,married,primary,0.0,81407.0,0.0,1.0,cellular,14.0,feb,1681.0,10.0,415.0,3.0,failure,0.0
58.0,retired,married,tertiary,0.0,144658.0,0.0,1.0,cellular,26.0,mar,1415.0,2.0,3.0,8.0,failure,1.0
45.0,services,married,primary,0.0,46175.0,1.0,0.0,telephone,25.0,jun,1725.0,8.0,466.0,9.0,failure,1.0
24.0,student,divorced,primary,0.0,114063.0,1.0,0.0,telephone,8.0,dec,371.0,11.0,457.0,4.0,failure,1.0
26.0,student,married,tertiary,0.0,52636.0,0.0,1.0,cellular,7.0,apr,1225.0,16.0,446.0,7.0,unknown,1.0
25.0,technician,single,tertiary,0.0,42564.0,1.0,1.0,telephone,24.0,dec,339.0,1.0,322.0,7.0,failure,0.0
29.0,management,single,primary,0.0,93698.0,1.0,1.0,telephone,6.0,feb,147.0,12.0,216.0,2.0,success,0.0
51.0,technician,single,secondary,0.0,94356.0,1.0,0.0,cellular,4.0,sep,620.0,15.0,183.0,9.0,failure,1.0
50.0,services,single,secondary,0.0,92135.0,0.0,0.0,cellular,3.0,oct,780.0,8.0,242.0,3.0,success,1.0
65.0,services,married,primary,0.0,123611.0,1.0,1.0,cellular,9.0,nov,121.0,2.0,219.0,7.0,success,0.0
72.0,services,single,primary,1.0,48028.0,1.0,0.0,telephone,14.0,aug,1635.0,8.0,95.0,9.0,success,0.0
40.0,technician,divorced,tertiary,0.0,39005.0,1.0,0.0,telephone,21.0,dec,1554.0,7.0,135.0,6.0,unknown,1.0
41.0,admin,divorced,tertiary,0.0,122404.0,0.0,0.0,cellular,26.0,sep,1210.0,18.0,284.0,2.0,failure,1.0
54.0,admin,divorced,secondary,1.0,121376.0,0.0,1.0,telephone,30.0,may,340.0,12.0,283.0,5.0,success,1.0
52.0,student,married,secondary,0.0,79497.0,1.0,0.0,telephone,16.0,oct,358.0,14.0,310.0,2.0,success,1.0
61.0,management,divorced,primary,0.0,113044.0,1.0,1.0,cellular,11.0,feb,631.0,2.0,178.0,7.0,success,1.0
57.0,student,single,tertiary,0.0,115862.0,1.0,0.0,cellular,25.0,oct,608.0,10.0,185.0,9.0,unknown,0.0
39.0,retired,divorced,tertiary,0.0,37045.0,1.0,0.0,telephone,8.0,apr,1110.0,2.0,28.0,4.0,failure,0.0
44.0,technician,married,primary,0.0,94809.0,1.0,0.0,cellular,20.0,jan,1974.0,11.0,246.0,9.0,failure,1.0
52.0,admin,single,secondary,1.0,124878.0,0.0,1.0,cellular,21.0,may,1094.0,9.0,207.0,6.0,unknown,1.0
18.0,management,divorced,primary,0.0,4327.0,0.0,0.0,cellular,1.0,sep,1324.0,2.0,288.0,6.0,failure,1.0
52.0,retired,single,primary,1.0,45141.0,0.0,1.0,cellular,9.0,jul,1611.0,13.0,301.0,1.0,failure,1.0
54.0,management,married,primary,0.0,13119.0,0.0,0.0,telephone,28.0,jun,1487.0,11.0,38.0,6.0,failure,1.0
64.0,management,married,tertiary,0.0,105850.0,0.0,1.0,cellular,8.0,jul,285.0,19.0,115.0,6.0,unknown,1.0
31.0,student,married,primary,0.0,14039.0,0.0,0.0,cellular,3.0,feb,386.0,8.0,189.0,1.0,unknown,1.0
20.0,student,married,secondary,0.0,13840.0,1.0,0.0,telephone,3.0,jan,1097.0,10.0,435.0,7.0,failure,0.0
18.0,retired,single,secondary,0.0,78599.0,0.0,0.0,cellular,28.0,jan,115.0,6.0,356.0,2.0,failure,1.0
22.0,services,divorced,primary,0.0,50503.0,1.0,0.0,telephone,9.0,may,350.0,14.0,375.0,6.0,success,0.0
43.0,admin,single,secondary,0.0,56199.0,1.0,0.0,telephone,30.0,aug,572.0,15.0,227.0,0.0,unknown,1.0
72.0,admin,married,primary,0.0,30164.0,0.0,1.0,telephone,1.0,aug,1917.0,1.0,214.0,1.0,success,1.0
31.0,retired,divorced,primary,0.0,54758.0,1.0,0.0,telephone,10.0,dec,1235.0,5.0,498.0,0.0,failure,1.0
56.0,admin,single,tertiary,0.0,17830.0,0.0,1.0,cellular,19.0,jul,764.0,8.0,230.0,4.0,success,0.0
44.0,technician,divorced,primary,0.0,89481.0,1.0,0.0,telephone,12.0,jun,1403.0,17.0,221.0,0.0,failure,0.0
26.0,technician,divorced,tertiary,0.0,149854.0,0.0,0.0,cellular,14.0,feb,428.0,3.0,124.0,2.0,success,1.0
32.0,technician,single,primary,0.0,124693.0,1.0,1.0,cellular,10.0,mar,203.0,5.0,107.0,9.0,success,0.0
32.0,retired,married,secondary,0.0,69822.0,0.0,0.0,cellular,3.0,mar,1362.0,7.0,367.0,0.0,failure,1.0
43.0,student,married,primary,1.0,103577.0,0.0,0.0,cellular,9.0,jul,320.0,9.0,19.0,3.0,unknown,1.0
59.0,management,divorced,tertiary,0.0,59072.0,1.0,1.0,telephone,1.0,oct,1778.0,5.0,238.0,9.0,success,1.0
30.0,management,married,tertiary,0.0,131922.0,1.0,1.0,telephone,3.0,feb,1092.0,10.0,168.0,3.0,success,1.0
68.0,services,single,primary,0.0,147932.0,1.0,0.0,telephone,13.0,jun,1762.0,17.0,144.0,7.0,success,1.0
49.0,services,single,primary,0.0,93212.0,0.0,0.0,telephone,6.0,jun,1528.0,17.0,115.0,1.0,unknown,1.0
56.0,technician,married,secondary,0.0,33398.0,0.0,1.0,cellular,22.0,apr,302.0,3.0,353.0,8.0,failure,0.0
66.0,technician,married,secondary,0.0,76389.0,1.0,1.0,cellular,26.0,sep,1961.0,11.0,92.0,1.0,failure,1.0
69.0,retired,married,primary,1.0,55076.0,1.0,1.0,telephone,14.0,dec,1869.0,7.0,486.0,2.0,success,0.0
49.0,technician,divorced,primary,0.0,1288.0,1.0,0.0,telephone,26.0,jan,1708.0,12.0,322.0,4.0,failure,0.0
21.0,technician,divorced,primary,0.0,69052.0,0.0,1.0,telephone,3.0,apr,1928.0,3.0,319.0,0.0,failure,1.0
47.0,technician,single,secondary,0.0,743.0,1.0,1.0,telephone,25.0,jun,1722.0,14.0,151.0,5.0,success,1.0
54.0,admin,single,primary,0.0,51411.0,0.0,0.0,cellular,12.0,aug,1858.0,11.0,210.0,7.0,failure,1.0
40.0,management,divorced,secondary,0.0,71058.0,0.0,0.0,telephone,26.0,dec,1837.0,17.0,37.0,2.0,failure,1.0
56.0,admin,single,tertiary,1.0,32659.0,1.0,1.0,cellular,22.0,jul,1192.0,9.0,110.0,3.0,success,0.0
62.0,student,divorced,secondary,0.0,1874.0,0.0,0.0,cellular,7.0,may,145.0,17.0,144.0,8.0,success,1.0
32.0,technician,divorced,tertiary,0.0,87840.0,0.0,0.0,telephone,14.0,jul,725.0,14.0,101.0,0.0,unknown,1.0
60.0,technician,divorced,primary,0.0,123540.0,0.0,1.0,telephone,4.0,may,39.0,13.0,200.0,4.0,unknown,1.0
46.0,admin,divorced,tertiary,0.0,433.0,1.0,0.0,telephone,12.0,apr,1145.0,14.0,427.0,0.0,unknown,1.0
53.0,admin,single,primary,0.0,56010.0,0.0,0.0,telephone,15.0,feb,769.0,9.0,443.0,3.0,unknown,1.0
30.0,retired,single,secondary,0.0,6848.0,0.0,1.0,cellular,26.0,aug,78.0,1.0,376.0,2.0,failure,0.0
49.0,retired,married,secondary,0.0,137013.0,0.0,0.0,telephone,20.0,jan,1956.0,17.0,392.0,9.0,failure,1.0
24.0,technician,divorced,secondary,0.0,21568.0,0.0,0.0,telephone,4.0,aug,406.0,16.0,129.0,7.0,failure,0.0
68.0,admin,divorced,primary,0.0,33573.0,0.0,1.0,cellular,21.0,feb,806.0,18.0,157.0,5.0,failure,0.0
39.0,student,married,tertiary,0.0,106870.0,0.0,0.0,cellular,21.0,jan,1240.0,6.0,363.0,3.0,failure,1.0
45.0,retired,married,tertiary,0.0,143111.0,1.0,1.0,telephone,11.0,jun,765.0,1.0,363.0,9.0,success,0.0
19.0,services,married,secondary,1.0,85587.0,1.0,1.0,telephone,13.0,sep,1385.0,10.0,0.0,4.0,unknown,1.0
59.0,admin,married,secondary,1.0,71447.0,0.0,1.0,cellular,11.0,mar,948.0,16.0,185.0,7.0,success,0.0
62.0,management,divorced,secondary,0.0,145589.0,0.0,1.0,cellular,11.0,feb,949.0,1.0,362.0,4.0,success,1.0
74.0,services,single,secondary,0.0,23003.0,0.0,1.0,telephone,24.0,feb,1194.0,17.0,403.0,1.0,unknown,1.0
70.0,services,single,primary,0.0,123185.0,0.0,0.0,telephone,28.0,aug,644.0,1.0,138.0,5.0,success,1.0
23.0,student,single,primary,0.0,53226.0,0.0,0.0,cellular,1.0,jul,566.0,18.0,423.0,8.0,failure,1.0
45.0,admin,married,primary,0.0,133565.0,0.0,0.0,cellular,19.0,jul,1430.0,16.0,282.0,9.0,unknown,1.0
45.0,student,divorced,secondary,0.0,96601.0,1.0,0.0,cellular,15.0,sep,1000.0,13.0,476.0,8.0,failure,1.0
61.0,technician,single,tertiary,0.0,49088.0,1.0,1.0,telephone,13.0,jun,235.0,8.0,420.0,3.0,success,0.0
61.0,management,divorced,secondary,0.0,51362.0,1.0,0.0,telephone,4.0,jul,1607.0,14.0,133.0,8.0,unknown,1.0
37.0,retired,divorced,primary,0.0,53903.0,0.0,1.0,telephone,12.0,jul,1595.0,4.0,465.0,5.0,success,0.0
47.0,student,single,primary,1.0,68897.0,0.0,0.0,cellular,15.0,mar,499.0,17.0,445.0,5.0,failure,0.0
28.0,retired,divorced,secondary,1.0,53237.0,1.0,0.0,cellular,4.0,apr,193.0,15.0,339.0,1.0,unknown,1.0
72.0,technician,married,secondary,0.0,94263.0,0.0,0.0,cellular,29.0,jul,69.0,1.0,352.0,9.0,failure,1.0
45.0,management,divorced,tertiary,0.0,56978.0,0.0,1.0,cellular,29.0,nov,1458.0,7.0,61.0,5.0,success,1.0
42.0,student,married,tertiary,0.0,134198.0,1.0,1.0,telephone,30.0,mar,258.0,11.0,342.0,0.0,unknown,0.0
56.0,management,divorced,tertiary,0.0,116905.0,0.0,0.0,telephone,23.0,apr,745.0,16.0,496.0,9.0,failure,1.0
50.0,services,single,primary,0.0,63802.0,1.0,1.0,telephone,18.0,jul,39.0,5.0,64.0,9.0,failure,0.0
18.0,services,married,primary,0.0,107644.0,0.0,1.0,cellular,16.0,may,1004.0,3.0,398.0,2.0,success,1.0
74.0,management,divorced,primary,0.0,69441.0,0.0,0.0,cellular,29.0,apr,831.0,3.0,125.0,3.0,success,1.0
44.0,student,divorced,primary,0.0,72114.0,1.0,1.0,cellular,24.0,feb,826.0,6.0,8.0,7.0,success,0.0
74.0,student,single,secondary,0.0,127721.0,1.0,1.0,cellular,11.0,mar,460.0,8.0,153.0,5.0,success,1.0
69.0,student,single,secondary,0.0,43876.0,1.0,1.0,telephone,29.0,jun,1263.0,3.0,272.0,6.0,success,1.0
30.0,admin,married,primary,0.0,109154.0,0.0,1.0,cellular,23.0,mar,1301.0,18.0,461.0,2.0,failure,0.0
58.0,student,divorced,tertiary,0.0,115875.0,1.0,1.0,cellular,14.0,oct,388.0,17.0,332.0,8.0,success,0.0
20.0,admin,divorced,tertiary,0.0,9552.0,1.0,1.0,telephone,14.0,apr,483.0,17.0,86.0,9.0,success,0.0
